Date,Close
02/01/2020,3259
03/01/2020,3235.5
06/01/2020,3243.5
07/01/2020,3235.25
08/01/2020,3260.25
09/01/2020,3276
10/01/2020,3264.75
13/01/2020,3289.75
14/01/2020,3288
15/01/2020,3293.75
16/01/2020,3316.5
17/01/2020,3325
21/01/2020,3319.5
22/01/2020,3319.75
23/01/2020,3326
24/01/2020,3293.5
27/01/2020,3239.5
28/01/2020,3278.25
29/01/2020,3272.5
30/01/2020,3289.75
31/01/2020,3224
03/02/2020,3245.5
04/02/2020,3299.5
05/02/2020,3335
06/02/2020,3345.25
07/02/2020,3325.5
10/02/2020,3353
11/02/2020,3357.5
12/02/2020,3380.5
13/02/2020,3377.5
14/02/2020,3381
18/02/2020,3369.25
19/02/2020,3387.25
20/02/2020,3369.25
21/02/2020,3339.25
24/02/2020,3226.25
25/02/2020,3132.5
26/02/2020,3110.25
27/02/2020,2957
28/02/2020,2951
02/03/2020,3065
03/03/2020,2997
04/03/2020,3114.75
05/03/2020,3015.5
06/03/2020,2964
09/03/2020,2747.75
10/03/2020,2865.75
11/03/2020,2740.25
12/03/2020,2469
13/03/2020,2696
16/03/2020,2416.25
17/03/2020,2495.5
18/03/2020,2414
19/03/2020,2403.25
20/03/2020,2437.98
23/03/2020,2220.5
24/03/2020,2438
25/03/2020,2467
26/03/2020,2608
27/03/2020,2524
30/03/2020,2611.25
31/03/2020,2569.75
01/04/2020,2448
02/04/2020,2516.5
03/04/2020,2482.75
06/04/2020,2644.5
07/04/2020,2642
08/04/2020,2735
09/04/2020,2779.75
13/04/2020,2759.25
14/04/2020,2843
15/04/2020,2775
16/04/2020,2787.5
17/04/2020,2870
20/04/2020,2806.5
21/04/2020,2732
22/04/2020,2788.5
23/04/2020,2780.75
24/04/2020,2829.5
27/04/2020,2869
28/04/2020,2867.25
29/04/2020,2941
30/04/2020,2902.5
01/05/2020,2821.75
04/05/2020,2825.25
05/05/2020,2858.25
06/05/2020,2833.5
07/05/2020,2880
08/05/2020,2928.5
11/05/2020,2922.75
12/05/2020,2852.5
13/05/2020,2813
14/05/2020,2847
15/05/2020,2846.5
18/05/2020,2948
19/05/2020,2918.75
20/05/2020,2968.5
21/05/2020,2937
22/05/2020,2953
26/05/2020,2994.5
27/05/2020,3035.5
28/05/2020,3038
29/05/2020,3042
01/06/2020,3054
02/06/2020,3077
03/06/2020,3117.75
04/06/2020,3110.5
05/06/2020,3186.75
08/06/2020,3227.5
09/06/2020,3205.5
10/06/2020,3186
11/06/2020,3010.25
12/06/2020,3034.75
15/06/2020,3073
16/06/2020,3128.75
17/06/2020,3118
18/06/2020,3109
19/06/2020,3161.26
22/06/2020,3110.75
23/06/2020,3118.5
24/06/2020,3049
25/06/2020,3070.75
26/06/2020,3007
29/06/2020,3047.75
30/06/2020,3090.25
01/07/2020,3103
02/07/2020,3129
06/07/2020,3172
07/07/2020,3136.5
08/07/2020,3163.5
09/07/2020,3141
10/07/2020,3178.5
13/07/2020,3148.25
14/07/2020,3183.5
15/07/2020,3219.5
16/07/2020,3194.5
17/07/2020,3214
20/07/2020,3245.25
21/07/2020,3251.25
22/07/2020,3265.5
23/07/2020,3227.5
24/07/2020,3204
27/07/2020,3232.25
